Match_id,Team1,Team2,Season,Toss_winner,Toss_decision,Player_of_match,Winner,Players_1,Players_2,Players_3,Players_4,Players_5,Players_6,Players_7,Players_8,Players_9,Players_10,Players_11
578615,5,9,2013,9,101,KAJ Roach,9,Asad Shafiq,Nasir Jamshed,Mohammad Hafeez,Imran Farhat,MisbahNanulNanHaq,Shoaib Malik,Kamran Akmal,Wahab Riaz,Saeed Ajmal,Junaid Khan,Mohammad Irfan
578617,2,8,2013,8,100,NL McCullum,2,DPMD Jayawardene,KC Sangakkara,TM Dilshan,MDKJ Perera,LD Chandimal,AD Mathews,HDRL Thirimanne,NLTC Perera,HMRKB Herath,RMS Eranga,SL Malinga
578618,5,4,2013,4,100,HM Amla,4,AB de Villiers,HM Amla,F du Plessis,CA Ingram,JP Duminy,DA Miller,R McLaren,RJ Peterson,CH Morris,AM Phangiso,LL Tsotsobe
578619,1,9,2013,1,101,RA Jadeja,1,MN Samuels,J Charles,DM Bravo,CH Gayle,RR Sarwan,DJ Bravo,KA Pollard,DJG Sammy,SP Narine,R Rampaul,KAJ Roach
578621,3,8,2013,8,101,KC Sangakkara,8,JE Root,IR Bell,IJL Trott,AN Cook,EJG Morgan,RS Bopara,JC Buttler,TT Bresnan,SCJ Broad,JM Anderson,GP Swann
578623,1,5,2013,1,101,B Kumar,1,Asad Shafiq,Kamran Akmal,Mohammad Hafeez,Nasir Jamshed,MisbahNanulNanHaq,Shoaib Malik,Umar Amin,Wahab Riaz,Saeed Ajmal,Junaid Khan,Mohammad Irfan
578624,3,2,2013,2,101,AN Cook,3,JE Root,IR Bell,IJL Trott,AN Cook,EJG Morgan,JC Buttler,RS Bopara,TT Bresnan,SCJ Broad,JC Tredwell,JM Anderson
578625,7,8,2013,7,101,DPMD Jayawardene,8,HDRL Thirimanne,KC Sangakkara,TM Dilshan,MDKJ Perera,DPMD Jayawardene,AD Mathews,LD Chandimal,KMDN Kulasekara,HMRKB Herath,SL Malinga,RMS Eranga
582188,8,2,2012,2,100,SL Malinga,8,LRPL Taylor,TWM Latham,BJ Watling,RJ Nicol,JEC Franklin,NL McCullum,AM Ellis,KD Mills,TA Boult,TG Southee,Nan
582189,8,2,2012,8,101,TM Dilshan,8,LRPL Taylor,BJ Watling,BB McCullum,RJ Nicol,JDP Oram,JEC Franklin,KS Williamson,NL McCullum,KD Mills,TA Boult,TG Southee
582190,8,2,2012,8,101,BMAJ Mendis,8,LRPL Taylor,BJ Watling,BB McCullum,RJ Nicol,KS Williamson,JEC Franklin,NL McCullum,AM Ellis,TG Southee,AF Milne,TA Boult
584546,7,2,2012,7,100,SW 100es,2,LC Sthalekar,LJ Poulton,JE Cameron,MM Lanning,AJ Blackwell,SJ Coyte,JM Fields,RL Haynes,EA Osborne,JL Jonassen,SA Millanta
584547,7,2,2012,7,101,AE Satterthwaite,7,SJ McGlashan,SW 100es,AE Satterthwaite,FL Mackay,NJ Browne,KT Perkins,RH Priest,EM Bermingham,SEA Ruck,RH Candy,MJG Nielsen
584549,7,2,2012,7,100,AE Satterthwaite,7,MM Lanning,RL Haynes,JE Cameron,LJ Poulton,AJ Blackwell,AJ Healy,LC Sthalekar,EA Osborne,EA Perry,ML Schutt,SA Millanta
584928,6,5,2012,5,101,Nida Dar,5,Lata Mondal,Sanjida Islam,Rumana Ahmed,Fargana Hoque,Salma Khatun,Tazia Akhter,Jahanara Alam,Shukhtara Rahman,Panna Ghosh,Khadija Tul Kubra,Nan
587471,6,9,2012,9,100,Sohag Gazi,6,MN Samuels,CH Gayle,DM Bravo,LMP Simmons,KA Pollard,DC Thomas,DJG Sammy,AD Russell,SP Narine,R Rampaul,KAJ Roach
587472,6,9,2012,9,101,Anamul Haque,6,Mushfiqur Rahim,Anamul Haque,Naeem Islam,Tamim Iqbal,Nasir Hossain,Mominul Haque,Mashrafe Mortaza,Mahmudullah,Sohag Gazi,Abdur Razzak,Abul Hasan
587473,6,9,2012,9,101,MN Samuels,9,Mushfiqur Rahim,Anamul Haque,Naeem Islam,Tamim Iqbal,Nasir Hossain,Mominul Haque,Mahmudullah,Mashrafe Mortaza,Sohag Gazi,Abdur Razzak,Rubel Hossain
587474,6,9,2012,6,101,DJG Sammy,9,DR Smith,KOA Powell,MN Samuels,CH Gayle,DM Bravo,KA Pollard,DC Thomas,DJG Sammy,V Permaul,SP Narine,KAJ Roach
587475,6,9,2012,6,101,Mahmudullah,6,DM Bravo,CH Gayle,MN Samuels,KOA Powell,KA Pollard,DJG Sammy,DC Thomas,AD Russell,V Permaul,SP Narine,KAJ Roach
589308,1,5,2012,5,101,MS Dhoni,5,Yuvraj Singh,V Sehwag,V Kohli,G Gambhir,RG Sharma,SK Raina,MS Dhoni,R Ashwin,B Kumar,I Sharma,AB Dinda
589309,1,5,2012,1,101,Nasir Jamshed,5,Younis Khan,Mohammad Hafeez,Azhar Ali,Nasir Jamshed,MisbahNanulNanHaq,Shoaib Malik,Kamran Akmal,Umar Gul,Saeed Ajmal,Mohammad Irfan,Junaid Khan
589310,1,5,2012,1,100,MS Dhoni,1,Yuvraj Singh,AM Rahane,V Kohli,G Gambhir,SK Raina,MS Dhoni,R Ashwin,RA Jadeja,B Kumar,I Sharma,Mohammed Shami
593723,3,7,2013,7,100,EA Osborne,7,JM Fields,JE Cameron,MM Lanning,RL Haynes,AJ Blackwell,EA Perry,EA Osborne,SJ Coyte,JL Jonassen,ML Schutt,HL Ferling
593724,3,7,2013,3,100,A Shrubsole,3,LS Greenway,HC Knight,SJ Taylor,CM Edwards,A Brindle,NR Sciver,LA Marsh,JL Gunn,KH Brunt,A Shrubsole,HL Colvin
593725,3,7,2013,7,100,SJ Taylor,3,JM Fields,AJ Healy,JE Cameron,MM Lanning,EA Perry,AJ Blackwell,EA Osborne,ML Schutt,JL Jonassen,SJ Coyte,JL Hunter
593983,9,0,2012,0,101,J Charles,9,AD Russell,KOA Powell,DM Bravo,J Charles,DJ Bravo,RR Sarwan,KAJ Roach,TL Best,SP Narine,N Deonarine,Nan
593985,9,0,2012,0,100,DM Bravo,9,BRM Taylor,V Sibanda,H Masakadza,TMK Mawoyo,RW Chakabva,MN Waller,CJ Chibhabha,CT Mutombodzi,N M'shangwe,KM Jarvis,CB Mpofu
594894,3,8,2012,8,101,LE Kaushalya,8,LS Greenway,DN Wyatt,A Brindle,CM Edwards,HC Knight,JL Gunn,AE Jones,KH Brunt,D Hazell,HL Colvin,GA Elwiss
594901,1,8,2012,8,100,HMD Rasangika,8,HASD Siriwardene,HMD Rasangika,BYA Mendis,AC Jayangani,LE Kaushalya,SS Weerakkody,CR Seneviratna,KDU Prabodhani,I Ranaweera,SK Dolawatte,Nan
594904,7,3,2012,3,101,LC Sthalekar,7,AJ Blackwell,RL Haynes,JE Cameron,MM Lanning,LC Sthalekar,JM Fields,SJ Coyte,EA Osborne,JL Hunter,ML Schutt,HL Ferling
594907,7,8,2012,7,101,EA Osborne,7,HASD Siriwardene,BYA Mendis,HMD Rasangika,AC Jayangani,SK Dolawatte,MADD Surangika,LE Kaushalya,SS Weerakkody,CR Seneviratna,KDU Prabodhani,I Ranaweera
594909,2,9,2012,2,101,A Mohammed,9,Kyshona A Knight,NY McLean,SR Taylor,Kycia A Knight,MR Aguilleira,DJS Dottin,SF Daley,SA Campbelle,SC Selman,A Mohammed,TD Smartt
594912,3,2,2012,3,100,SJ Taylor,3,LS Greenway,DN Wyatt,SJ Taylor,CM Edwards,LA Marsh,A Brindle,HC Knight,JL Gunn,KH Brunt,HL Colvin,Nan
594914,3,2,2012,3,101,CM Edwards,3,SFM Devine,SW 100es,AE Satterthwaite,FL Mackay,SJ McGlashan,KT Perkins,RH Priest,LR Doolan,NJ Browne,LMM Tahuhu,SEA Ruck
594915,7,9,2012,7,100,JE Cameron,7,AJ Blackwell,RL Haynes,JE Cameron,MM Lanning,LC Sthalekar,SJ Coyte,JM Fields,EA Osborne,EA Perry,ML Schutt,JL Hunter
597923,9,8,2013,9,101,CH Gayle,9,LD Chandimal,DPMD Jayawardene,KC Sangakkara,WU Tharanga,AD Mathews,HDRL Thirimanne,KMDN Kulasekara,BMAJ Mendis,HMRKB Herath,SL Malinga,BAW Mendis
597924,9,1,2013,9,101,J Charles,9,KD Karthik,S Dhawan,V Kohli,RG Sharma,SK Raina,MS Dhoni,RA Jadeja,R Ashwin,B Kumar,UT Yadav,I Sharma
597925,1,8,2013,1,101,WU Tharanga,8,KMDN Kulasekara,DPMD Jayawardene,AD Mathews,WU Tharanga,SMSM Senanayake,HMRKB Herath,SL Malinga,Nan,Nan,Nan,Nan
597926,9,1,2013,9,101,V Kohli,1,SK Raina,S Dhawan,V Kohli,RG Sharma,KD Karthik,M Vijay,RA Jadeja,R Ashwin,B Kumar,UT Yadav,I Sharma
597928,1,8,2013,8,101,B Kumar,1,KD Karthik,S Dhawan,V Kohli,RG Sharma,SK Raina,B Kumar,UT Yadav,I Sharma,RA Jadeja,R Ashwin,Nan
597929,1,8,2013,1,101,MS Dhoni,1,HDRL Thirimanne,DPMD Jayawardene,KC Sangakkara,WU Tharanga,AD Mathews,MDKJ Perera,LD Chandimal,HMRKB Herath,RMS Eranga,SL Malinga,RAS Lakmal
